,CPU Model,Manufacturer,Socket,Core,Power,Clock Frequency,Cache Size,Score (CPU Mark),Price,,,,,,,,,,,,,,,,,
82,Core i7-5820K,Intel,LGA2011-v3,6,140,3.3,15,9831 ,158.02,,,,,,,,,,,,,,,,,
83,Ryzen 3 2200G,AMD,AM4,4,65,3.5,4,6747 ,105,,,,,,,,,,,,,,,,,
84,Ryzen 3 3200G,AMD,AM4,4,65,3.6,4,7046 ,74.95,,,,,,,,,,,,,,,,,
85,Ryzen 7 5800X3D,AMD,AM4,8,105,3.4,96,28304 ,749.88,,,,,,,,,,,,,,,,,
86,Core i7-6800K,Intel,LGA2011-v3,6,140,3.4,15,10730 ,72.99,,,,,,,,,,,,,,,,,
87,Ryzen TR 2950X,AMD,sTR4,16,180,3.5,32,29509 ,698.88,,,,,,,,,,,,,,,,,
88,Ryzen TR 1950X,AMD,sTR4,16,180,3.4,32,27633 ,844.95,,,,,,,,,,,,,,,,,
89,Core i7-3930K,Intel,LGA2011,6,130,3.2,12,8205 ,617.74,,,,,,,,,,,,,,,,,
90,Ryzen 5 2400G,AMD,AM4,4,65,3.6,4,8738 ,125,,,,,,,,,,,,,,,,,
91,Core i7-7820X,Intel,LGA2066,8,140,3.6,11,17171 ,741.06,,,,,,,,,,,,,,,,,
92,Core i5-6600,Intel,LGA1151,4,35,3.3,6,6056 ,0,,,,,,,,,,,,,,,,,
93,Core i3-9350KF,Intel,LGA1151-2,4,91,4,8,7559 ,129,,,,,,,,,,,,,,,,,
94,Core i7-6700HQ,Intel,BGA1440,4,45,2.6,6,6525 ,378,,,,,,,,,,,,,,,,,
95,Core i5-2500,Intel,LGA1155,4,95,3.3,6,4116 ,135.84,,,,,,,,,,,,,,,,,
96,Ryzen TR 2920X,AMD,sTR4,12,180,3.5,32,25235 ,225.1,,,,,,,,,,,,,,,,,
97,Core i7-3770K,Intel,LGA1155,4,77,3.5,8,6477 ,165.63,,,,,,,,,,,,,,,,,
98,Core i5-4590,Intel,LGA1150,4,84,3.3,6,5373 ,45.42,,,,,,,,,,,,,,,,,
99,Core i7-2600,Intel,LGA1155,4,95,3.4,8,5349 ,0,,,,,,,,,,,,,,,,,
100,Core i5-4670K,Intel,LGA1150,4,84,3.4,6,5577,50,,,,,,,,,,,,,,,,,
101,Core i7-7700,Intel,LGA1151,4,65,3.6,8,8644,100,,,,,,,,,,,,,,,,,
102,Ryzen 7 2700,AMD,AM4,8,65,3.2,16,15671,155.99,,,,,,,,,,,,,,,,,
103,Ryzen TR 2920X,AMD,sTR4,12,180,3.5,32,25235,225.1,,,,,,,,,,,,,,,,,
104,Core i7-4790,Intel,LGA1150,4,84,3.6,8,7266,85.69,,,,,,,,,,,,,,,,,
105,Core i3-6100,Intel,LGA1151,2,51,3.7,4,4129,29.99,,,,,,,,,,,,,,,,,
106,Ryzen 3 1200,AMD,AM4,4,65,3.1,8,6261,70,,,,,,,,,,,,,,,,,
107,Ryzen 5 1500X,AMD,AM4,4,65,3.5,16,9089,175,,,,,,,,,,,,,,,,,
108,Core i5-8400,Intel,LGA1151-2,6,65,2.8,9,9225,120,,,,,,,,,,,,,,,,,
109,Ryzen 9 3950X,AMD,AM4,16,105,3.5,64,38618,455.95,,,,,,,,,,,,,,,,,
110,Ryzen 9 7950X,AMD,AM5,16,170,4.5,64,62524,455.99,,,,,,,,,,,,,,,,,
111,Core i7-14700KF,Intel,LGA1700,20,125,3.4,33,53083,319.99,,,,,,,,,,,,,,,,,
112,Core i5-8300H,Intel,LGA1151-2,4,45,2.3,12,7390,250,,,,,,,,,,,,,,,,,
113,Core i7-8550U,Intel,BGA1356,4,15,1.8,8,5847,0,,,,,,,,,,,,,,,,,
114,Ryzen 7 4800H,AMD,FP6,8,45,2.9,8,18279,0,,,,,,,,,,,,,,,,,
115,Ryzen 5 2500U,AMD,FP5,4,15,2,4,6513,0,,,,,,,,,,,,,,,,,
116,Core i7-6700,Intel,LGA1151,4,65,3.4,8,8058,389.95,,,,,,,,,,,,,,,,,
117,Ryzen 3 1300X,AMD,AM4,4,65,3.4,8,6941,62.26,,,,,,,,,,,,,,,,,
118,Ryzen TR 1900X,AMD,sTR4,8,180,3.8,32,16816,240,,,,,,,,,,,,,,,,,
119,Ryzen 5 1400,AMD,AM4,4,65,3.2,8,7735,90,,,,,,,,,,,,,,,,,
120,Ryzen 5 5600,AMD,AM4,6,65,3.5,32,21558,116,,,,,,,,,,,,,,,,,
121,Ryzen 5 5600G,AMD,AM4,6,65,3.9,16,19790,155.99,,,,,,,,,,,,,,,,,
122,Ryzen 7 5700X,AMD,AM4,8,65,3.4,32,26635,138,,,,,,,,,,,,,,,,,
123,Core i5-14400F,Intel,LGA1700,10,65,2.5,20,25738,130,,,,,,,,,,,,,,,,,
124,Ryzen 5 3500X,AMD,AM4,6,65,3.6,32,13160,115,,,,,,,,,,,,,,,,,
125,Ryzen 5 4500U,AMD,FP6,6,15,2.3,8,10798,0,,,,,,,,,,,,,,,,,
126,Ryzen 7 2700U,AMD,FP5,4,15,2.2,4,6829,0,,,,,,,,,,,,,,,,,
127,Ryzen 5 3500U,AMD,FP5,4,15,2.1,4,6868,0,,,,,,,,,,,,,,,,,
128,Core i5-2400,Intel,LGA1155,4,95,3.1,6,3870,49.99,,,,,,,,,,,,,,,,,
129,Ryzen 7 9700X,AMD,AM5,8,65,3.8,32,37201,309,,,,,,,,,,,,,,,,,
130,Core i7-6850K,Intel,LGA2011-3,6,140,3.6,15,11428,95,,,,,,,,,,,,,,,,,
